#{"t_start": 1733084080.583097, "env_id": "BattleshipEnvSD-v0"}
r,l,t
-175.8,280,1.208933
-418.1,525,1.353561
-239.1,346,1.445315
-417.3,526,1.585197
-401.2,509,2.334109
-100.3,200,2.386706
-212.2,320,2.470694
-352.1,459,2.590065
-164.9,270,2.666971
-234.9,340,2.756922
-288.0,394,3.436034
-175.9,281,3.571408
-311.2,419,3.713998
-300.0,406,3.822887
-341.2,449,3.939949
-150.4,251,4.005311
-359.2,467,4.762355
-261.2,369,4.957026
-345.2,453,5.102392
-258.2,366,5.211672
-267.1,374,5.324125
-337.3,446,6.478578
-404.2,512,6.659049
-154.5,256,6.729255
-133.4,234,6.79421
-155.6,258,6.868385
-202.7,306,6.953458
